ydeg ymin ysec xdeg xmin xsec sourcedist
18 34 15 72 18 15 1
18 34 45 72 18 15 2
18 34 45 72 18 45 3
18 34 45 72 18 45 1
18 34 45 72 18 15 2
18 34 15 72 18 15 3
18 34 15 72 18 15 1
18 34 45 72 18 15 2
18 34 15 72 18 15 3
19 19 15 71 5 15 1
19 19 15 71 4 45 2
19 27 15 70 46 15 1
19 27 15 70 46 45 2
19 27 15 70 47 15 3
19 26 45 70 47 15 4
19 26 45 70 47 45 5
19 26 45 70 48 15 6
19 26 15 70 48 15 7
19 26 15 70 48 45 8
19 26 15 70 49 15 9
19 26 15 70 49 45 10
19 26 15 70 50 15 11
19 26 15 70 50 45 12
19 26 15 70 51 15 13
19 25 45 70 51 15 14
19 25 45 70 51 45 15
19 28 15 70 43 15 1
19 28 45 70 43 15 2
19 28 45 70 43 45 3
19 29 15 70 43 45 4
19 29 15 70 44 15 5
19 29 45 70 44 15 6
19 28 45 70 43 15 1
19 28 45 70 43 45 2
19 28 45 70 43 15 3
19 28 45 70 43 15 1
19 28 45 70 43 45 2
19 29 45 70 44 15 1
19 29 15 70 44 15 2
19 29 15 70 43 45 3
19 28 45 70 43 45 4
19 28 45 70 43 15 5
19 28 15 70 43 15 6
19 30 15 70 39 15 1
19 30 15 70 38 45 2
19 30 15 70 39 15 3
19 30 15 70 38 45 4
19 30 45 70 38 45 5
19 30 45 70 39 15 6
19 30 45 70 38 45 7
19 31 15 70 38 45 8
19 31 15 70 38 15 9
19 31 45 70 38 15 10
19 32 15 70 38 15 11
19 32 45 70 38 15 12
19 32 45 70 37 45 13
19 32 15 70 37 45 14
19 32 45 70 37 45 15
19 32 45 70 37 15 16
19 33 15 70 37 15 17
19 33 15 70 37 45 18
19 33 45 70 37 45 19
19 34 15 70 37 45 20
19 34 15 70 38 15 21
19 34 15 70 37 45 22
19 34 45 70 37 45 23
19 35 15 70 37 45 24
19 35 45 70 37 45 25
19 35 45 70 37 15 26
19 35 15 70 37 15 27
19 35 45 70 37 15 28
19 35 45 70 36 45 29
19 35 45 70 36 15 30
19 36 15 70 36 15 31
19 36 15 70 35 45 32
19 36 15 70 35 15 33
19 36 45 70 35 15 34
19 37 15 70 35 15 35
19 37 45 70 35 15 36
19 37 15 70 35 15 37
19 37 45 70 35 15 38
19 37 45 70 35 45 39
19 38 15 70 35 45 40
19 38 45 70 35 45 41
19 38 45 70 36 15 42
19 38 45 70 35 45 43
19 38 45 70 36 15 44
19 39 15 70 36 15 45
19 39 45 70 36 15 46
19 39 45 70 36 45 47
19 40 15 70 36 45 48
19 40 15 70 37 15 49
19 40 45 70 37 15 50
19 40 45 70 36 45 51
19 40 45 70 37 15 52
19 41 15 70 37 15 53
19 41 15 70 37 45 54
19 41 45 70 37 45 55
19 41 45 70 37 15 56
19 42 15 70 37 15 57
19 42 45 70 37 15 58
19 43 15 70 37 15 59
19 22 45 69 51 15 1
19 22 45 69 51 45 2
19 23 15 69 51 45 3
19 23 15 69 52 15 4
19 23 45 69 52 15 5
19 23 45 69 52 45 6
19 24 15 69 52 45 7
19 24 15 69 53 15 8
19 24 45 69 53 15 9
19 25 15 69 53 15 10
19 25 15 69 53 45 11
19 25 45 69 53 45 12
19 26 15 69 53 45 13
19 26 45 69 53 45 14
19 26 45 69 54 15 15
19 26 45 69 54 45 16
19 27 15 69 54 45 17
19 27 15 69 55 15 18
19 27 45 69 55 15 19
19 27 45 69 55 45 20
19 27 45 69 56 15 21
19 22 15 69 51 15 1
19 21 45 69 51 15 2
19 21 15 69 51 15 3
19 20 45 69 51 15 4
19 20 45 69 51 45 5
19 20 15 69 51 45 6
19 20 15 69 52 15 7
19 20 15 69 52 45 8
19 19 45 69 52 45 9
19 19 15 69 52 45 10
19 19 15 69 53 15 11
19 19 15 69 53 45 12
19 18 45 69 53 45 13
19 18 45 69 53 15 14
19 18 15 69 53 15 15
19 17 45 69 53 15 16
19 17 45 69 53 45 17
19 17 15 69 53 45 18
19 16 45 69 53 45 19
19 16 15 69 53 45 20
19 15 45 69 53 45 21
19 15 45 69 53 15 22
19 15 15 69 53 15 23
19 15 15 69 53 45 24
19 15 15 69 54 15 25
19 15 15 69 54 45 26
19 15 15 69 55 15 27
19 14 45 69 55 15 28
19 14 15 69 55 15 29
19 13 45 69 55 15 30
19 13 15 69 55 15 31
19 13 15 69 55 45 32
19 12 45 69 55 45 33
19 12 15 69 55 45 34
19 11 45 69 55 45 35
19 11 45 69 56 15 36
19 11 45 69 56 45 37
19 11 15 69 56 45 38
19 11 45 69 56 45 39
19 11 15 69 56 45 40
19 11 15 69 57 15 41
19 11 45 69 57 15 42
19 11 15 69 57 15 43
19 11 15 69 57 45 44
19 11 15 69 58 15 45
19 11 45 69 58 15 46
19 11 45 69 58 45 47
19 11 45 69 59 15 48
19 11 45 69 59 45 49
19 12 15 69 59 45 50
19 11 45 69 59 45 51
19 11 45 69 60 15 52
19 11 45 70 0 15 53
19 12 15 70 0 15 54
19 12 15 70 0 45 55
19 12 15 70 1 15 56
19 12 45 70 1 15 57
19 12 45 70 1 45 58
19 12 45 70 2 15 59
19 12 45 70 2 45 60
19 12 45 70 3 15 61
19 12 45 70 3 45 62
19 12 45 70 4 15 63
19 13 15 70 4 15 64
19 13 15 70 4 45 65
19 13 15 70 5 15 66
19 12 45 70 5 15 67
19 12 45 70 5 45 68
19 12 15 70 5 45 69
19 11 45 70 5 45 70
19 11 45 70 6 15 71
19 11 15 70 6 15 72
19 11 45 70 6 15 73
19 11 45 70 6 45 74
19 12 15 70 6 45 75
19 12 15 70 7 15 76
19 12 45 70 7 15 77
19 13 15 70 7 15 78
19 13 15 70 7 45 79
19 13 45 70 7 45 80
19 13 45 70 8 15 81
19 14 15 70 8 15 82
19 14 15 70 8 45 83
19 14 45 70 8 45 84
19 14 45 70 9 15 85
19 15 15 70 9 15 86
19 15 15 70 9 45 87
19 15 15 70 10 15 88
19 15 45 70 10 15 89
19 15 45 70 10 45 90
19 15 45 70 11 15 91
19 15 45 70 11 45 92
19 15 45 70 12 15 93
19 15 45 70 12 45 94
19 15 45 70 13 15 95
19 16 15 70 13 15 96
19 16 15 70 13 45 97
19 16 15 70 14 15 98
19 16 45 70 14 15 99
18 37 15 68 43 15 1
18 36 45 68 43 15 2
18 37 45 68 45 15 1
18 37 45 68 44 45 2
18 37 45 68 44 15 3
18 37 15 68 43 15 1
18 37 15 68 43 45 2
18 37 15 68 42 15 1
18 37 15 68 42 45 2
18 39 15 68 39 45 1
18 38 45 68 39 45 2
18 38 45 68 40 15 3
18 38 15 68 40 15 4
18 38 15 68 40 45 5
