ydeg ymin ysec xdeg xmin xsec sourcedist
18 15 45 72 32 45 76
18 17 45 72 54 45 110
18 24 45 72 6 15 36
18 37 15 70 7 15 52
18 38 15 70 32 15 34
18 25 15 73 32 45 75
19 26 45 70 40 15 126
19 6 15 70 7 15 52
19 8 45 72 35 45 506
18 40 45 70 1 45 50
19 15 15 72 5 15 199
18 41 45 70 27 15 65
18 54 15 71 36 45 116
19 23 45 71 46 45 34
19 51 45 72 43 15 46
19 27 45 72 18 15 34
18 54 15 72 4 15 351
19 37 15 71 11 45 260
19 39 45 72 22 15 10
19 27 45 72 6 15 85
19 41 15 70 39 15 17
18 28 45 69 19 45 142
19 17 45 72 21 45 41
19 12 45 71 59 15 37
18 26 15 72 5 45 115
19 43 45 71 32 45 366
19 42 15 72 25 45 33
18 25 15 71 26 15 40
18 15 15 73 48 45 63
18 56 45 72 18 15 45
18 30 45 72 16 15 38
19 11 15 72 42 45 531
18 25 15 72 9 45 12
19 50 15 72 31 15 140
19 31 45 71 46 15 2
19 44 15 72 13 15 110
18 8 15 71 44 45 79
18 17 15 72 49 15 96
18 15 45 72 31 45 72
18 53 15 70 28 15 79
19 15 45 70 53 15 40
19 29 15 72 12 45 122
19 37 15 72 7 45 119
18 54 15 70 36 15 5
18 20 15 74 24 15 4
19 6 15 72 3 45 35
18 25 45 72 19 15 36
19 9 15 70 16 15 90
19 35 15 71 60 15 79
19 36 15 72 13 15 1
18 14 15 74 2 15 2
18 41 45 69 57 15 66
18 48 45 72 13 15 69
19 9 15 72 9 15 113
18 47 45 72 2 15 34
18 30 45 74 21 45 70
18 43 45 72 14 45 1
18 56 15 68 48 45 46
18 37 45 72 16 15 2
18 22 45 72 57 15 2
18 24 15 72 3 15 46
18 25 45 73 53 45 103
18 15 15 72 56 15 84
18 24 15 72 50 15 1
19 45 15 72 12 15 108
19 38 15 72 54 15 58
19 28 15 70 43 15 131
19 29 15 70 46 15 141
18 33 45 69 47 15 158
19 55 45 72 50 45 187
18 43 45 71 57 45 10
19 44 15 72 10 15 42
18 33 45 72 8 15 147
18 37 45 72 18 45 37
19 9 15 71 46 45 40
18 21 45 74 5 15 3
18 42 15 69 55 45 102
18 20 45 72 25 45 38
19 45 45 71 34 15 373
18 20 15 72 53 45 4
19 44 45 72 7 45 152
18 27 15 72 15 15 34
19 34 45 71 51 45 127
18 53 45 71 58 15 340
18 22 15 73 38 45 7
19 36 15 72 37 45 76
18 38 45 70 27 45 54
19 33 15 72 1 15 34
18 28 15 73 18 15 188
18 14 15 72 20 45 4
18 29 15 72 11 15 136
18 21 15 74 5 45 5
19 49 15 72 25 45 1
18 21 15 72 47 15 36
18 39 15 69 50 15 127
18 26 45 71 53 45 2
18 15 15 72 23 45 2
19 38 45 72 39 45 119
19 13 15 71 37 15 43
19 35 15 72 34 45 68
18 44 15 72 24 15 42
18 22 15 72 38 15 3
18 45 15 68 54 45 94
18 55 45 72 34 15 67
