daysince2010 Centre Grand'Anse L'Artibonite Nippes Nord Nord-Est Nord-Ouest Ouest Port-au-Prince Sud Sud-Est
123 2.207491 0 0.6062689 0 0 0 0 0 0 0 0.06120482
124 0.3602182 0.01751724 0.1465705 0.1778 4.182369 0.09236364 2.632364 0 0 0 0
125 11.64705 0 0.4197246 0 10.00217 0.1385455 4.987636 1.124505 1.124505 0.2096508 0
126 0 0.2802759 0 0 0 0 0 0 0 0 0
127 0 0 0 0 0 0 0 0 0 0 0
128 0 0 0 0 0 0 0 0 0 0 0
129 0.1108364 0.2977931 0 0 0 0 0 0 0 0 0
130 0 0 0 0 0 0 0 0.4734757 0.4734757 0 0
131 0.3325091 0 0 0.4572 0 0 0 0.9009191 0.9009191 6.273397 1.713735
132 0 0 0 0 0 0 0 0 0 0 0
133 0 0 0 0 0.2367379 0.03078788 0 0 0 0 0
134 0 0 0 0 0 0 0 0 0 0 0
135 0.5449455 0.05255173 1.139252 0 9.114408 0 4.079394 0 0 0 0
136 0 0 0 0 0 0 0 0 0 0 0
137 1.782618 0 0 0 0.01972816 0 0.01539394 0 0 0 0
138 34.08218 15.09986 0.2465049 55.3974 4.182369 0.2155152 6.188364 54.24585 54.24585 38.57575 3.182651
139 37.60124 1.594069 26.76244 1.651 20.08326 2.909455 34.46703 2.176673 2.176673 0.6934603 1.150651
140 3.768436 0.1751724 2.811489 5.5372 2.544932 2.570788 4.756727 0.01972816 0.01972816 0 0.4651566
141 7.490691 1.453931 1.472367 3.8862 1.893903 3.894667 1.400849 13.83601 13.83601 10.04711 0.08568675
142 2.669309 1.086069 1.965377 1.0668 2.683029 0.2155152 1.801091 2.459443 2.459443 0 1.236337
143 0.4802909 0.437931 0.01998689 0 0.887767 0.06157576 0.6157576 0.006576052 0.006576052 0 0.1713735
144 0.009236364 2.750207 0 2.3368 1.085049 0 0 0.631301 0.631301 0.3386667 0.01224096
145 12.11811 34.15862 11.08606 20.9042 14.63829 7.958667 13.60824 19.96489 19.96489 26.25473 25.06949
146 0.1939636 0.3853793 0 1.2192 0 0 0.4772121 1.459884 1.459884 4.418794 1.750458
147 0.05541818 12.77007 3.6576 26.0858 0.6510291 6.573212 0.6311515 2.53178 2.53178 2.531937 13.80781
148 2.632364 19.07628 8.521076 21.844 7.753165 8.466667 5.372485 13.40199 13.40199 32.43137 50.20019
149 12.01651 0.508 0.6129312 5.4356 3.393243 0 0.1077576 15.98638 15.98638 31.43149 3.133687
150 8.756073 8.653517 0 29.5148 0.03945631 0 0 0.4274434 0.4274434 0.04838095 9.609157
151 79.77447 60.94248 14.11074 6.2484 63.56412 1.739515 27.38582 3.99824 3.99824 0 16.68443
152 43.62335 22.10676 31.73251 3.0988 31.07184 4.418061 28.49418 40.84386 40.84386 6.531429 9.033831
153 51.80676 8.776138 29.79378 0.1778 17.81452 0.6311515 12.77697 52.9701 52.9701 24.86781 1.101687
154 35.27367 14.31159 9.547069 0.0508 32.47254 0.1539394 16.87176 4.675573 4.675573 0 2.509398
155 1.865746 0 0.113259 0 0.03945631 0 0.1385455 6.142032 6.142032 2.612571 0
156 15.1384 0 1.865443 0 0.1183689 0 0.261697 4.116608 4.116608 0.5321905 0.03672289
157 27.432 6.358759 1.519003 1.3208 14.06617 0.2155152 6.711758 3.071016 3.071016 0.5321905 4.651566
158 6.871855 0.1576552 1.285823 0.4826 0.07891262 0.1231515 5.464849 5.083288 5.083288 0.4031746 0.02448193
159 50.04262 1.769241 23.9776 15.367 15.72334 0.3078788 6.742545 28.50718 28.50718 8.402159 4.32106
160 61.10778 4.028966 18.90093 0.1778 15.1315 0 9.482667 4.728181 4.728181 0 0.01224096
161 5.421746 3.293241 6.349167 0.0762 10.14027 2.278303 16.05588 0.2104337 0.2104337 0 0
162 2.835564 4.484414 1.245849 0.254 24.34454 0.7850909 4.017818 1.025864 1.025864 0.3064127 3.011277
164 17.65069 32.79228 1.079292 3.7338 6.786485 0 0.3386667 7.917566 7.917566 0.5321905 0.04896386
165 0.8682182 2.820276 6.622321 0.1016 0.09864078 0.1385455 0.1385455 0.6839094 0.6839094 0 0
166 13.1064 0.6131035 18.03483 0 0.256466 0.1077576 0.9698182 3.011832 3.011832 0 1.346506
167 1.884218 57.03614 10.9195 1.4986 10.88994 0 0.0769697 3.215689 3.215689 0.04838095 2.644048
168 3.574473 0.3503448 0 0 0.9272233 0 0 0.0131521 0.0131521 0 0
169 11.26836 8.811172 0.519659 0.9652 0.5523884 0 0.01539394 4.064 4.064 0 0.04896386
170 14.63964 0 0.05996066 0.0762 0.2761942 0 0 12.30379 12.30379 2.112635 1.468916
171 22.41665 34.77172 38.24157 42.5704 59.44093 6.650182 69.90388 59.31599 59.31599 26.77079 23.29455
172 11.73942 18.72593 19.0475 26.3906 25.7847 0 25.95418 15.6247 15.6247 2.435175 20.94429
173 7.121236 70.40179 31.95237 73.2028 6.214369 20.79721 27.70909 6.549748 6.549748 2.064254 46.34429
174 2.179782 43.688 26.416 10.922 30.77592 17.0257 30.88024 0.8088544 0.8088544 0.3547937 40.50535
175 28.16167 25.78538 52.3723 4.699 76.28878 67.34849 71.73576 7.194201 7.194201 7.128127 21.51961
176 0 20.77545 0.03331148 0 0 0 0.01539394 0.05260842 0.05260842 0 8.470747
177 32.53971 0.4554483 7.175292 8.9662 3.136777 0 1.123758 24.80487 24.80487 10.53092 1.958554
178 16.36684 0.4204138 21.79903 0.3048 2.288466 0 0 13.82944 13.82944 0.7740953 0.01224096
179 7.989455 4.25669 0.8261246 0 42.96792 0 19.27321 0.7299418 0.7299418 0.3386667 2.019759
180 27.7368 3.766207 1.105941 0 28.32963 0.03078788 6.003636 8.535715 8.535715 0.8224762 0.3672289
181 30.63702 40.85021 50.13377 42.7482 30.83511 52.89358 51.40036 12.77727 12.77727 3.386667 4.455711
182 0 3.783724 0 0 8.404194 0 0 0 0 0 0
183 21.39142 0.2452414 5.143292 0.1016 32.39363 0 18.88836 0 0 0 0
184 9.541164 0.01751724 0.4796853 0 1.736078 0 2.016606 1.650589 1.650589 0 0.03672289
185 3.851564 0.05255173 1.185889 12.6746 0 0 0 31.04554 31.04554 11.98235 1.199614
186 3.823855 58.10469 0.1598951 110.998 0.03945631 0 0 57.07355 57.07355 34.44724 56.66342
187 73.33673 0.01751724 8.627672 1.3208 32.90656 0 13.65442 36.83247 36.83247 10.61156 10.12328
188 38.21084 11.38621 67.42243 8.1026 57.86268 27.6937 57.43479 23.86449 23.86449 0 13.03663
189 30.61855 0 6.968761 0 7.733437 0 13.88533 0 0 0 0.02448193
190 1.736436 1.191172 0.01998689 0 0 0 0 0.5458123 0.5458123 0 10.6374
191 54.48531 6.463862 8.394492 0.2032 2.209553 0.06157576 4.064 0.9666796 0.9666796 0.2419048 0.1713735
192 47.13316 0.01751724 32.25883 10.0584 13.5927 0.4772121 20.76642 14.83557 14.83557 0.3225397 0.4651566
193 20.43084 1.156138 66.50969 2.1082 20.9513 34.02061 73.19818 7.726861 7.726861 1.822349 0.3182651
194 3.223491 17.65738 0.3531016 78.3082 0 0 0 30.59179 30.59179 8.998857 38.17957
